P_ID,Dev_ID,PName,Difficulty
211,bd_017,breezy-indigo-starfish,Low
300,zm_015,lanky-asparagus-gar,Difficult
310,bd_015,gloppy-tomato-wasp,Difficult
358,zm_013,skinny-grey-quetzal,Medium
358,zm_017,skinny-grey-quetzal,Low
429,bd_013,flabby-firebrick-bee,Medium
558,wd_019,woozy-crimson-hound,Difficult
632,bd_013,dorky-heliotrope-barracuda,Difficult
641,rf_013,homey-alizarin-gar,Low
641,rf_013,homey-alizarin-gar,Difficult
641,rf_015,homey-alizarin-gar,Medium
656,rf_013,sloppy-denim-wolfhound,Medium
